TxID,Coffee,Bread,Butter,Tea,Jam
101,False,False,False,True,False
102,False,True,False,True,False
103,False,True,False,True,True
104,False,True,False,True,True
105,False,True,False,True,True
106,True,True,True,False,False
107,False,False,False,True,True
108,False,True,True,True,True
109,False,True,False,True,True
110,False,False,False,True,True
111,False,True,False,True,True
112,True,True,True,True,False
113,False,False,False,True,True
114,True,False,True,False,False
115,True,True,True,False,False
116,True,True,False,False,False
117,False,False,True,False,False
118,True,True,True,False,False
119,True,False,True,False,False
120,False,True,False,True,True
121,True,True,True,False,False
122,False,False,True,False,True
123,False,True,False,False,True
124,False,True,False,True,True
125,False,True,False,True,False
126,True,False,True,False,False
127,True,True,True,False,False
128,False,True,True,False,False
129,True,True,False,False,False
130,False,False,True,False,False
131,True,False,True,False,False
132,True,True,True,False,False
133,True,False,False,False,False
134,True,True,True,False,False
135,False,True,False,True,True
136,True,False,True,False,False
137,False,True,False,True,True
138,False,True,False,False,True
139,False,False,False,True,True
140,False,True,False,False,False
141,False,True,False,True,False
142,False,True,False,True,True
143,True,True,True,False,False
144,True,True,True,True,True
145,True,True,True,False,False
146,True,False,True,False,False
147,True,True,True,False,False
148,False,False,False,False,True
149,False,False,False,True,True
150,True,True,True,False,False
151,True,True,True,False,False
152,True,False,True,False,False
153,False,False,False,False,True
154,False,False,False,True,True
155,True,True,False,False,False
156,False,False,False,False,True
157,False,False,False,True,True
158,False,False,False,True,True
159,True,True,True,False,False
160,False,True,False,True,True
161,True,True,True,False,False
162,True,True,False,False,False
163,False,False,False,True,True
164,True,False,False,True,False
165,False,False,False,True,True
166,False,False,True,False,False
167,True,True,True,False,False
168,True,True,False,True,True
169,True,True,True,False,False
170,False,True,False,True,True
171,False,False,False,True,True
172,True,False,True,False,False
173,True,False,True,False,False
174,False,False,False,False,True
175,True,False,False,False,False
176,True,True,True,False,False
177,True,True,True,False,False
178,True,True,True,False,False
179,False,False,False,True,True
180,False,False,False,True,True
181,True,False,True,False,False
182,False,True,False,True,True
183,True,True,True,False,False
184,True,True,True,False,False
185,True,True,True,False,False
186,False,False,False,True,True
187,True,True,True,False,False
188,False,False,False,True,False
189,True,False,True,False,False
190,True,True,True,False,False
191,False,True,False,True,True
192,False,False,False,True,True
193,True,True,True,False,False
194,False,False,True,False,False
195,True,False,True,False,False
196,True,False,True,False,False
197,True,False,True,False,False
198,False,False,False,False,True
199,True,False,False,False,False
200,False,True,False,False,True
201,True,False,True,False,False
202,False,False,True,False,False
203,False,True,False,True,True
204,False,False,False,True,True
205,True,False,True,True,False
206,True,True,False,True,True
207,True,False,True,False,False
208,True,True,True,False,False
209,False,True,False,True,False
210,True,True,True,True,False
211,False,True,False,True,True
212,True,True,True,False,False
213,False,False,False,True,True
214,True,True,True,False,False
215,True,False,True,False,False
216,False,False,False,True,False
217,False,True,False,True,True
218,True,True,True,False,False
219,True,True,True,False,False
220,True,True,True,False,True
221,False,True,False,True,True
222,True,True,True,False,False
223,True,True,True,False,False
224,True,False,True,False,True
225,True,True,True,False,False
226,True,False,True,False,False
227,True,True,True,False,False
228,True,False,False,True,False
229,True,True,True,True,False
230,False,False,False,True,True
231,True,False,True,False,False
232,True,False,True,False,False
233,False,False,True,True,False
234,True,False,True,False,False
235,True,False,False,False,False
236,False,False,False,True,True
237,True,True,True,False,False
238,True,True,False,False,False
239,False,True,False,False,False
240,True,False,True,False,False
241,True,False,True,False,False
242,True,False,False,True,False
243,True,False,True,False,False
244,False,True,False,False,True
245,True,True,False,False,False
246,False,True,False,True,True
247,False,True,False,False,True
248,False,True,False,True,False
249,False,False,False,True,True
250,True,True,True,False,False
251,True,True,True,False,False
252,True,True,True,False,False
253,True,False,True,True,False
254,True,True,True,False,False
255,True,False,True,True,True
256,False,True,False,False,True
257,True,False,True,True,True
258,True,True,True,False,False
259,False,False,False,True,True
260,True,True,True,False,False
261,False,False,False,False,True
262,True,False,False,True,True
263,True,False,True,False,False
264,False,False,False,True,False
265,True,False,True,False,False
266,False,False,False,False,True
267,False,True,False,True,True
268,True,True,True,False,False
269,True,True,True,False,False
270,False,True,False,True,True
271,True,False,False,False,False
272,True,True,False,False,False
273,True,False,True,False,False
274,True,False,False,False,True
275,True,False,True,False,False
276,False,True,False,True,True
277,True,True,True,False,False
278,True,True,True,False,False
279,True,True,True,False,False
280,True,False,False,False,False
281,True,True,True,False,False
282,True,False,False,False,False
283,False,False,False,True,True
284,True,False,False,True,False
285,True,False,True,False,False
286,False,True,False,True,False
287,True,True,True,False,True
288,True,True,True,False,False
289,True,False,True,False,False
290,True,True,True,False,False
291,False,True,False,True,True
292,True,True,True,False,False
293,True,True,True,False,False
294,True,True,False,True,False
295,False,False,False,True,True
296,False,True,False,True,True
297,False,True,False,True,True
298,False,True,False,True,True
299,True,True,True,False,False
300,True,True,True,False,False
301,True,True,True,False,False
302,True,True,True,False,False
303,False,True,True,True,False
304,True,False,True,False,False
305,True,True,False,False,False
306,False,True,True,False,False
307,True,True,True,False,False
308,False,True,False,False,False
309,False,True,True,False,False
310,False,False,False,True,True
311,True,False,True,False,False
312,False,False,False,True,True
313,True,True,False,False,True
314,True,True,True,False,False
315,False,True,False,True,False
316,True,True,True,False,False
317,False,False,False,True,True
318,False,True,False,False,False
319,False,False,False,False,True
320,False,True,False,True,True
321,False,False,False,True,True
322,True,True,False,True,True
323,True,True,False,False,False
324,True,False,False,False,False
325,True,True,False,False,True
326,False,False,False,False,True
327,True,False,True,False,False
328,False,True,False,False,True
329,True,False,True,False,False
330,False,False,False,True,False
331,False,False,False,True,True
332,False,True,False,True,True
333,False,False,False,True,True
334,False,True,True,False,False
335,True,True,True,False,False
336,False,False,True,False,False
337,False,True,True,True,False
338,False,False,False,True,True
339,False,True,False,True,True
340,True,True,False,False,False
341,False,True,True,False,False
342,False,False,False,False,True
343,False,True,False,False,False
344,True,False,True,False,False
345,False,True,False,True,True
346,False,True,False,True,True
347,False,False,False,True,False
348,True,True,True,False,False
349,False,True,False,True,True
350,True,True,True,False,False
351,False,False,False,True,True
352,True,True,True,False,False
353,True,True,True,False,False
354,True,False,True,False,False
355,True,True,True,False,False
356,False,True,False,True,True
357,False,False,True,False,True
358,False,True,False,True,True
359,True,False,True,False,False
360,True,False,True,False,False
361,False,True,False,False,True
362,True,True,True,False,False
363,True,True,False,False,True
364,True,False,True,False,False
365,True,True,True,False,False
366,False,False,False,True,False
367,True,False,True,False,False
368,True,True,True,False,False
369,True,True,True,False,False
370,True,True,True,False,False
371,False,False,False,True,True
372,True,True,True,False,False
373,False,False,False,True,True
374,False,False,False,True,True
375,False,False,False,True,False
376,True,False,True,False,False
377,False,True,False,True,True
378,False,False,False,True,True
379,True,False,True,False,False
380,False,True,False,True,False
381,True,False,True,False,False
382,False,False,True,False,False
383,True,True,False,False,False
384,False,True,False,True,True
385,False,True,False,True,False
386,False,True,True,True,True
387,True,False,True,False,False
388,False,False,False,True,True
389,False,True,False,True,True
390,True,True,True,False,False
391,True,False,True,True,False
392,True,False,True,False,False
393,False,True,False,True,True
394,True,True,True,False,False
395,False,False,False,True,True
396,False,False,False,True,True
397,False,False,False,False,True
398,False,True,False,True,True
399,True,False,True,False,False
400,True,True,True,False,False
401,True,True,False,False,False
402,False,True,True,True,True
403,False,False,False,True,False
404,True,False,False,True,False
405,False,False,False,True,True
406,False,False,False,True,True
407,True,True,True,False,False
408,True,True,True,False,False
409,False,True,False,True,True
410,True,False,False,False,True
411,False,True,True,False,False
412,True,False,True,False,False
413,False,True,False,True,True
414,True,True,True,False,False
415,False,False,False,True,True
416,True,True,True,False,False
417,False,True,False,True,False
418,True,False,False,False,False
419,False,False,False,True,True
420,False,False,False,True,True
421,False,True,False,True,True
422,True,True,False,False,False
423,False,False,True,False,False
424,True,False,True,False,False
425,True,True,True,False,False
426,True,True,True,False,False
427,True,True,True,False,False
428,True,False,True,False,False
429,True,True,True,False,False
430,False,True,False,True,True
431,True,False,True,False,False
432,True,False,False,False,True
433,True,True,True,False,True
434,False,True,False,False,True
435,True,False,True,False,False
436,True,True,False,False,False
437,False,True,False,False,False
438,True,True,True,False,True
439,False,False,False,True,True
440,False,True,False,True,True
441,True,True,False,True,True
442,False,False,False,True,True
443,False,True,False,True,True
444,True,True,False,False,True
445,True,True,True,False,False
446,True,True,True,False,True
447,True,False,False,False,False
448,True,False,True,False,False
449,False,True,False,True,False
450,False,False,False,True,True
451,False,True,False,True,True
452,True,True,True,False,False
453,False,True,False,False,True
454,False,True,False,True,True
455,False,False,False,True,False
456,True,False,True,False,False
457,True,True,True,False,False
458,True,True,False,False,False
459,True,False,True,False,False
460,True,True,False,False,True
461,True,True,True,False,False
462,False,True,False,True,True
463,True,False,True,False,False
464,True,True,True,False,False
465,True,True,True,False,False
466,False,True,False,False,True
467,False,True,False,False,False
468,False,False,False,True,True
469,False,False,False,True,True
470,True,False,True,False,False
471,True,True,True,False,False
472,False,True,True,False,False
473,False,True,False,True,True
474,True,False,True,False,False
475,True,True,True,False,False
476,True,True,True,False,True
477,True,True,False,False,False
478,True,True,False,False,False
479,False,False,False,True,True
480,True,False,True,False,False
481,True,False,True,False,False
482,False,True,True,True,False
483,True,True,True,False,False
484,True,False,True,False,False
485,False,True,False,True,True
486,False,True,False,True,True
487,False,True,False,False,True
488,True,True,True,False,True
489,False,False,False,True,True
490,False,True,False,True,True
491,False,False,False,True,True
492,False,True,False,True,False
493,True,True,True,False,False
494,True,True,True,False,False
495,False,True,False,False,False
496,False,False,True,False,False
497,False,True,False,False,True
498,True,True,True,False,False
499,False,False,False,True,True
500,False,False,False,True,True
501,False,True,False,True,False
502,False,False,True,False,False
503,False,True,False,True,True
504,True,True,True,False,False
505,False,False,False,True,False
506,False,True,False,False,False
507,False,False,False,True,True
508,False,True,True,False,False
509,False,True,False,True,True
510,True,True,True,False,False
511,True,True,True,False,False
512,True,False,False,True,True
513,True,True,True,False,False
514,False,False,False,True,True
515,False,False,False,True,True
516,True,True,True,False,False
517,False,False,False,True,True
518,False,True,False,True,True
519,False,False,False,True,False
520,True,True,True,True,False
521,True,True,True,False,False
522,False,True,False,True,True
523,True,False,True,False,False
524,False,False,False,True,False
525,True,False,False,False,False
526,True,True,True,False,False
527,True,True,True,False,False
528,False,True,False,True,True
529,False,False,False,True,False
530,False,False,False,False,True
531,True,False,True,False,False
532,False,False,False,True,True
533,False,True,False,True,True
534,False,False,False,True,False
535,True,True,True,False,False
536,True,False,True,False,False
537,True,False,True,False,False
538,False,True,False,True,True
539,True,True,False,False,True
540,True,False,True,False,False
541,True,True,True,False,False
542,True,False,True,False,False
543,True,True,True,False,False
544,True,False,True,False,False
545,True,True,True,False,False
546,True,True,False,True,True
547,False,True,False,True,False
548,True,False,False,False,False
549,True,False,False,False,False
550,True,True,True,False,False
551,True,False,True,False,False
552,True,False,False,False,False
553,False,False,False,False,True
554,True,True,True,False,False
555,True,True,True,False,True
556,True,True,True,False,False
557,True,True,False,False,False
558,False,False,False,True,True
559,False,False,False,True,True
560,True,False,True,False,False
561,True,True,True,False,False
562,True,False,True,False,False
563,False,False,False,True,True
564,True,True,True,False,False
565,True,False,False,True,True
566,True,True,True,False,True
567,True,True,True,False,False
568,True,True,True,False,False
569,False,False,False,False,True
570,False,True,False,True,False
571,True,False,True,False,False
572,False,False,False,True,True
573,True,True,True,False,True
574,True,True,True,False,False
575,True,True,True,False,False
576,False,True,False,True,True
577,True,False,True,True,False
578,True,False,True,False,False
579,True,True,True,False,True
580,True,False,False,False,False
581,True,True,True,False,False
582,False,True,False,True,True
583,False,False,False,True,True
584,True,True,True,False,False
585,True,False,True,False,False
586,False,False,False,False,True
587,False,True,False,True,False
588,False,True,False,True,False
589,False,True,False,False,True
590,True,True,True,False,False
591,True,True,True,False,False
592,False,True,False,False,True
593,True,True,False,True,False
594,False,False,False,True,True
595,True,False,True,False,False
596,False,False,False,True,True
597,False,True,False,True,True
598,True,False,True,True,False
599,False,False,False,True,False
600,False,True,False,True,True
601,False,True,False,True,False
602,False,False,False,False,True
603,True,True,True,False,False
604,False,False,False,True,False
605,True,True,True,False,False
606,False,True,False,True,True
607,True,True,True,False,False
608,False,False,False,True,False
609,True,False,True,False,False
610,False,True,False,False,True
611,False,False,False,False,True
612,True,True,True,False,False
613,True,False,True,False,False
614,True,False,True,False,False
615,True,False,True,False,False
616,True,False,False,True,True
617,True,False,True,True,True
618,False,True,False,True,True
619,False,False,False,True,True
620,True,False,False,False,False
621,False,True,True,True,True
622,True,False,True,False,False
623,True,True,True,False,False
624,False,True,False,True,True
625,False,True,False,True,True
626,True,False,True,False,False
627,False,False,True,True,False
628,True,False,True,False,False
629,True,True,True,False,False
630,True,True,False,True,True
631,True,True,True,False,False
632,False,True,False,True,True
633,True,True,True,False,False
634,True,True,True,False,False
635,False,False,False,True,True
636,True,True,False,False,True
637,True,True,True,False,False
638,False,True,False,True,True
639,True,True,True,False,False
640,False,True,False,True,True
641,True,True,True,False,False
642,False,True,False,True,True
643,True,True,True,False,False
644,False,True,False,True,True
645,False,False,False,True,True
646,True,True,True,False,False
647,False,True,False,True,True
648,True,False,False,True,False
649,False,True,False,False,True
650,True,True,False,False,False
651,True,False,True,False,False
652,True,False,True,False,False
653,False,False,False,True,True
654,False,False,False,True,True
655,True,False,True,False,False
656,True,False,False,True,False
657,True,False,True,False,False
658,True,True,False,True,True
659,True,True,True,False,False
660,True,False,False,True,False
661,False,True,False,False,True
662,False,True,False,False,False
663,True,False,True,False,False
664,False,True,True,False,False
665,False,False,False,False,True
666,True,False,True,False,False
667,False,True,False,True,True
668,False,True,False,False,False
669,True,True,True,True,False
670,False,True,False,True,True
671,False,False,False,True,False
672,True,True,True,False,False
673,False,True,True,False,True
674,False,True,False,True,True
675,False,False,True,True,False
676,False,True,False,True,True
677,True,True,True,False,False
678,False,False,False,False,True
679,False,False,False,False,True
680,False,True,False,True,True
681,True,False,True,False,False
682,True,False,True,False,False
683,False,False,False,True,True
684,False,False,True,False,False
685,True,True,True,False,True
686,True,True,True,False,False
687,False,False,False,True,True
688,False,False,True,False,False
689,False,False,False,True,True
690,False,True,True,False,False
691,True,False,False,True,True
692,True,True,False,False,False
693,True,True,True,False,False
694,True,True,True,False,False
695,True,False,True,False,False
696,True,True,True,False,False
697,True,False,True,False,False
698,True,False,True,False,False
699,True,True,False,False,False
700,True,True,True,False,False
701,True,True,True,False,False
702,False,True,False,True,True
703,True,False,True,False,False
704,False,False,False,True,True
705,True,False,False,False,False
706,False,True,False,True,True
707,False,True,False,True,True
708,True,True,True,False,False
709,True,True,True,False,False
710,True,False,True,False,False
711,True,True,True,False,False
712,False,False,False,True,True
713,False,False,False,True,False
714,True,False,True,False,False
715,True,True,False,True,True
716,True,True,True,False,False
717,True,True,True,False,False
718,True,False,True,False,False
719,False,False,False,True,True
720,True,False,True,False,False
721,True,False,False,True,True
722,True,False,True,False,False
723,False,False,False,False,True
724,False,True,False,True,True
725,True,False,True,False,False
726,False,True,True,True,True
727,True,False,True,False,False
728,True,True,True,False,False
729,False,True,True,False,False
730,False,False,False,False,True
731,True,True,False,False,False
732,False,True,False,True,True
733,True,False,True,False,False
734,False,True,True,False,False
735,False,True,False,True,False
736,True,True,True,False,False
737,False,False,False,True,True
738,True,True,True,False,False
739,True,True,True,False,False
740,True,False,False,False,False
741,True,False,False,False,False
742,True,False,True,False,False
743,False,True,False,False,True
744,False,True,False,True,True
745,False,True,False,True,True
746,True,True,True,False,False
747,False,True,True,True,True
748,True,True,True,False,False
749,True,False,True,False,True
750,True,True,True,False,True
751,False,True,False,True,True
752,True,True,False,False,False
753,False,True,False,True,True
754,False,True,False,True,True
755,True,True,True,False,False
